GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
ATAD3C             1    1378152    1405538    160      43  107853      0.81151      0.20854
ATAD3B             1    1407139    1444852    208      44  107853       1.9104     0.028039
ATAD3A             1    1447523    1470067    145      42  107853      0.76724      0.22147
TMEM240            1    1470158    1475740     22      12  107853      -1.5871      0.94375
SSU72              1    1477053    1510262    155      29  107853     -0.39135      0.65223
C1orf233           1    1533388    1535476      6       4  107853      -1.4141      0.92133
MIB2               1    1550795    1565990     70      23  107853     -0.54775      0.70807
MMP23B             1    1567060    1570030      3       2  107853       1.6398     0.050522
CDK11B             1    1571100    1590473     36      12  107853      0.34834      0.36379
SLC35E2B           1    1591486    1624243    111      39  107853       1.4434      0.07446
CDK11A             1    1633822    1655999     80      15  107853     -0.39596      0.65393
SLC35E2            1    1656277    1677438     87      33  107853     -0.66181      0.74595
NADK               1    1682671    1711508    145      36  107853     -0.32062      0.62575
GNB1               1    1716725    1822552    442      84  107853     0.058258      0.47677
CALML6             1    1846266    1848733     16       6  107853      0.45423      0.32483
TMEM52             1    1849029    1850740      9       4  107853      -0.9471      0.82821
CFAP74             1    1853390    1935276    601      68  107853     -0.88023      0.81063
GABRD              1    1950768    1962192     62      23  107853       2.3146     0.010316
PRKCZ              1    1981909    2116834    935      79  107853     -0.90479      0.81721
LOC100506504       1    2113250    2115812     14      10  107853     -0.57925      0.71879
C1orf86            1    2115899    2144159    124      47  107853      -1.2394       0.8924
SKI                1    2160134    2241652    499     106  107853     -0.62998      0.73565
MORN1              1    2251719    2323190    525      79  107853     -0.37097      0.64467
RER1               1    2323214    2336883     77      35  107853      0.32059      0.37426
PEX10              1    2336241    2344010     51      25  107853       1.0981      0.13608
PLCH2              1    2407754    2436964    194      60  107853      -1.5735      0.94219
PANK4              1    2439975    2458061    126      36  107853      -1.4087      0.92054
HES5               1    2460184    2461684      8       6  107853      -0.7243      0.76556
TNFRSF14           1    2487291    2495268     40      15  107853      -2.1609      0.98465
FAM213B            1    2517899    2522908     33      21  107853      0.68072      0.24802
MMEL1              1    2522078    2564499    280      29  107853     -0.42252      0.66368
TTC34              1    2572807    2706230    195      53  107853      0.11066      0.45594
ACTRT2             1    2938046    2939467      8       5  107853      0.38967      0.34839
PRDM16             1    2985565    3355185   2950     308  107853      0.25661      0.39874
ARHGEF16           1    3371147    3397677    189      41  107853       1.1311        0.129
MEGF6              1    3404506    3528059    941     133  107853      0.48604      0.31347
TPRG1L             1    3541556    3546695     26      10  107853      0.44902      0.32671
WRAP73             1    3547331    3566671    109      36  107853       1.4943     0.067545
TP73               1    3569129    3652765    551      97  107853       1.5711     0.058085
CCDC27             1    3668965    3688209    145      50  107853       1.5685     0.058385
SMIM1              1    3689352    3692546     21      12  107853    0.0036027      0.49856
LRRC47             1    3696784    3713068    131      33  107853      0.87862       0.1898
CEP104             1    3728645    3773797    417      35  107853      0.62084      0.26735
DFFB               1    3773845    3801993    274      46  107853       1.1268      0.12991
C1orf174           1    3805697    3816857     81      22  107853     -0.30943       0.6215
AJAP1              1    4715105    4843851   1026     122  107853       2.5477    0.0054214
NPHP4              1    5922870    6052618    842      55  107853       1.0854      0.13888
KCNAB2             1    6052358    6161253    657     106  107853      -1.4851      0.93124
CHD5               1    6161847    6240194    538      77  107853     -0.26482      0.60443
RPL22              1    6245080    6259679     62      19  107853     -0.71205      0.76178
RNF207             1    6266189    6281359     84      23  107853     -0.21984        0.587
ICMT               1    6281253    6296044     79      25  107853     0.069235       0.4724
HES3               1    6304252    6305638      8       4  107853      0.28307      0.38856
GPR153             1    6307406    6321035     81      17  107853      -1.0792      0.85975
ACOT7              1    6324332    6453826    843      59  107853     -0.38629      0.65036
HES2               1    6475292    6484724     47      15  107853       1.2449      0.10659
ESPN               1    6484836    6521004    184      36  107853       0.7661      0.22181
TNFRSF25           1    6520787    6527432     43      19  107853     -0.75315      0.77432
PLEKHG5            1    6526152    6580121    332      72  107853     -0.31256      0.62269
NOL9               1    6581407    6614658    213      22  107853     -0.14075      0.55597
TAS1R1             1    6614987    6639817    152      38  107853    -0.083269      0.53318
ZBTB48             1    6640051    6649340     29      20  107853     -0.41557      0.66114
KLHL21             1    6650784    6662958     67      29  107853      -2.1673      0.98489
PHF13              1    6673756    6684093     43      16  107853     -0.26287      0.60367
THAP3              1    6684925    6695646     58      19  107853     -0.57405      0.71703
DNAJC11            1    6694228    6761966    326      53  107853      0.57658      0.28211
CAMTA1             1    6845384    7829766   5371     371  107853      0.16497      0.43448
VAMP3              1    7831329    7841492     55      19  107853      0.98478      0.16237
PER3               1    7844413    7905241    346      43  107853       1.2567      0.10443
UTS2               1    7907672    7913551     35      15  107853      0.91012      0.18138
TNFRSF9            1    7975931    8003225    114      29  107853     -0.29842      0.61731
PARK7              1    8021714    8045342    145      44  107853       0.2175      0.41391
ERRFI1             1    8071779    8086393     56      22  107853   -0.0098134      0.50391
SLC45A1            1    8378171    8404227    160      42  107853      0.42331      0.33603
RERE               1    8412464    8877699   1673      81  107853       2.3897    0.0084321
ENO1               1    8921059    8939151     68      27  107853       1.8858     0.029661
CA6                1    9005893    9035151    208      56  107853       -1.299      0.90303
SLC2A7             1    9063359    9086404    152      62  107853      -1.4623      0.92817
SLC2A5             1    9097005    9131763    191      44  107853     -0.42103      0.66313
GPR157             1    9163472    9189229    118      33  107853       1.2921     0.098156
H6PD               1    9294822    9331396    233      67  107853      0.98383       0.1626
SPSB1              1    9335202    9429591    717     128  107853      0.34096      0.36657
SLC25A33           1    9599528    9642831    189      47  107853    -0.017055       0.5068
TMEM201            1    9648932    9674935    144      47  107853      0.51445      0.30347
PIK3CD             1    9711789    9789172    433      87  107853     0.053045      0.47885
CLSTN1             1    9789079    9884550    568      36  107853    -0.033442      0.51334
CTNNBIP1           1    9908334    9970316    307      56  107853      0.32383      0.37303
LZIC               1    9982168   10003460     89      31  107853      0.10459      0.45835
NMNAT1             1   10003486   10045556    173      47  107853     -0.46039      0.67738
RBP7               1   10057255   10076078     72      17  107853     -0.28806      0.61335
UBE4B              1   10093041   10241297    691      60  107853     -0.36955      0.64414
KIF1B              1   10270606   10441664    908      41  107853     -0.40812      0.65841
PGD                1   10458884   10480565    105      29  107853     -0.71296      0.76206
APITD1             1   10489944   10510239    107      29  107853     -0.34546      0.63513
APITD1-CORT        1   10490159   10512060    111      29  107853     -0.43426      0.66795
CORT               1   10509776   10512060      8       3  107853      -1.4159       0.9216
DFFA               1   10520588   10532613     66      31  107853      -1.2255      0.88981
PEX14              1   10535003   10690815    713      89  107853     0.061792      0.47536
CASZ1              1   10696661   10856733    929     170  107853       1.1007      0.13551
C1orf127           1   11006530   11042094    248      54  107853      -0.8592      0.80489
TARDBP             1   11072462   11085549     60      23  107853      0.94358      0.17269
MASP2              1   11086580   11107296    119      28  107853       1.3002     0.096766
SRM                1   11114649   11120091     19      10  107853      0.69274      0.24424
EXOSC10            1   11126675   11159961    170      23  107853      0.78747       0.2155
MTOR               1   11166588   11322614    664      36  107853      0.64596      0.25915
ANGPTL7            1   11249346   11256038     30      10  107853      0.52829      0.29865
UBIAD1             1   11333255   11348491     48      15  107853     -0.32232       0.6264
PTCHD2             1   11539295   11597640    279      35  107853      0.10278      0.45907
FBXO2              1   11707924   11714888     44      28  107853      0.44085      0.32966
FBXO44             1   11714432   11723384     45      21  107853      0.55619      0.28904
FBXO6              1   11724150   11734411     70      29  107853      0.74081       0.2294
MAD2L2             1   11734537   11751678    117      34  107853       1.0162      0.15477
DRAXIN             1   11751781   11780336    163      48  107853     -0.10133      0.54035
AGTRAP             1   11796142   11810828     70      22  107853     -0.75961      0.77626
C1orf167           1   11823827   11849642    213      24  107853      0.22541      0.41083
MTHFR              1   11845787   11866160    126      26  107853     -0.15795      0.56275
CLCN6              1   11866153   11903201    317      30  107853     -0.63915      0.73864
NPPA               1   11905766   11907840     17       7  107853      -1.2409      0.89268
NPPB               1   11917521   11918992      6       4  107853      0.12544      0.45009
KIAA2013           1   11979645   11986485     34      16  107853     -0.32446      0.62721
PLOD1              1   11994724   12035599    230      43  107853    -0.070224      0.52799
MFN2               1   12040238   12073572    186      42  107853      -0.8337      0.79777
MIIP               1   12079299   12092106     59      25  107853     -0.39027      0.65183
TNFRSF8            1   12123434   12204264    470      93  107853       0.4846      0.31398
TNFRSF1B           1   12227044   12269279    244      55  107853      0.47389      0.31779
VPS13D             1   12290101   12572099   1121      75  107853       2.2822     0.011239
DHRS3              1   12627939   12677820    307      70  107853       1.1122      0.13302
AADACL4            1   12704566   12727097    132      30  107853      0.54486      0.29293
AADACL3            1   12776118   12788726     89      24  107853     -0.77229      0.78003
C1orf158           1   12806163   12821102     92      20  107853      -1.2391      0.89235
PRAMEF12           1   12834984   12838049     18      10  107853      0.53781      0.29535
PRAMEF1            1   12851546   12856777     19      11  107853       1.2273      0.10986
PRAMEF11           1   12884468   12891264     33      13  107853    -0.035096        0.514
HNRNPCL1           1   12907261   12908578      5       3  107853      -1.2129      0.88742
PRAMEF2            1   12916941   12921764     28      10  107853      -2.8647      0.99791
PRAMEF4            1   12939033   12946025     14      10  107853      0.94235      0.17301
PRAMEF10           1   12952727   12958094      4       2  107853     -0.37164      0.64492
PRAMEF6            1   12998302   13007406      1       1  107853     -0.77575      0.78105
HNRNPCL2           1   13182960   13184326      9       6  107853      0.48824      0.31269
LOC391003          1   13474053   13477569      1       1  107853      0.94511       0.1723
PRAMEF17           1   13716088   13719064      3       2  107853     -0.12972      0.55161
LRRC38             1   13801445   13840242    304      74  107853      0.32356      0.37314
PDPN               1   13910252   13944452    227      68  107853     -0.72769       0.7666
PRDM2              1   14026714   14151574    699      78  107853        1.484     0.068907
KAZN               1   14219646   15444544   8319     500  107853     -0.25344      0.60004
TMEM51             1   15479028   15546974    525      52  107853       1.4197     0.077841
C1orf195           1   15490692   15498120     44      15  107853       1.2099      0.11316
FHAD1              1   15573730   15724767    892     128  107853      0.63945      0.26127
EFHD2              1   15736391   15756839    145      43  107853       1.1519      0.12468
CTRC               1   15764938   15773153     43      20  107853      0.62897      0.26468
CELA2A             1   15783223   15798586     98      25  107853       0.8322      0.20265
CELA2B             1   15802596   15817895    107      26  107853      -0.3456      0.63518
CASP9              1   15817896   15851407    209      27  107853     -0.53014      0.70199
DNAJC16            1   15853343   15898228    185      31  107853     0.096916       0.4614
AGMAT              1   15898194   15911605     80      17  107853      -1.1113      0.86679
DDI2               1   15943953   15995539    214      29  107853     -0.94985      0.82891
RSC1A1             1   15986364   15988217      8       5  107853     -0.79988      0.78811
PLEKHM2            1   16010632   16061264    270      33  107853      0.24327       0.4039
SLC25A34           1   16062721   16067884     22      12  107853      0.87745      0.19012
TMEM82             1   16068987   16074292     35      14  107853     -0.86477      0.80642
FBLIM1             1   16083107   16113089    163      39  107853     -0.21048      0.58335
UQCRHL             1   16133657   16134194      5       2  107853        1.725     0.042266
SPEN               1   16174359   16266951    381      60  107853      0.53607      0.29596
ZBTB17             1   16268364   16302627    130      48  107853      0.83646      0.20145
TBC1D3P6           1   16302626   16323701    149      37  107853      0.25141      0.40075
C1orf64            1   16330731   16333184     25      12  107853     -0.71432      0.76249
HSPB7              1   16340523   16346084     59       9  107853      0.15401       0.4388
CLCNKA             1   16348486   16360548    107      28  107853      0.86654       0.1931
CLCNKB             1   16370231   16383821    154      28  107853      0.92079      0.17858
FAM131C            1   16384264   16400127     90      19  107853      0.44096      0.32962
EPHA2              1   16450832   16482582    138      51  107853       2.3591    0.0091601
ARHGEF19           1   16524599   16539104     83      18  107853       0.9609       0.1683
ANO7P1             1   16551343   16553528     10       2  107853       2.6871    0.0036039
RSG1               1   16558182   16563659     25      13  107853       1.7606     0.039149
FBXO42             1   16573339   16678965    427      43  107853       2.7846      0.00268
SZRD1              1   16693525   16724643    122      32  107853       2.4277    0.0075965
SPATA21            1   16722101   16763919    233      63  107853       1.5894     0.055982
NECAP2             1   16767167   16786585     90      34  107853      0.25579      0.39906
FAM231B            1   16865561   16866198      3       2  107853     -0.41219       0.6599
NBPF1              1   16888922   16940100      9       6  107853     -0.69794      0.75739
CROCC              1   17248445   17299474    258      58  107853     -0.17808      0.57067
MFAP2              1   17300997   17308081     29      13  107853     -0.93489      0.82508
ATP13A2            1   17312453   17338467    114      40  107853      0.12715      0.44941
SDHB               1   17345217   17380665    195      31  107853      0.14993      0.44041
PADI2              1   17393256   17445948    404      44  107853      0.29054       0.3857
PADI1              1   17531621   17572501    312      97  107853      0.76621      0.22177
PADI3              1   17575593   17610728    277      48  107853      0.99545      0.15976
PADI4              1   17634690   17690495    430      52  107853      -1.4213      0.92238
PADI6              1   17698741   17728195    264      38  107853      0.13859      0.44489
RCC2               1   17733251   17766250    194      59  107853     -0.40258      0.65637
ARHGEF10L          1   17846693   18024370   1078     122  107853       0.3377       0.3678
ACTL8              1   18081808   18153558    380      56  107853      0.12867      0.44881
IGSF21             1   18434240   18704977   1828     244  107853     -0.54539      0.70726
KLHDC7A            1   18807424   18812540     41      13  107853     -0.79653      0.78714
PAX7               1   18957500   19075360    750     164  107853     -0.51274      0.69593
TAS1R2             1   19166093   19186155    164      38  107853     -0.17094      0.56787
ALDH4A1            1   19197924   19229293    254      47  107853      0.45483      0.32462
IFFO2              1   19230774   19282826    335      69  107853     -0.47548      0.68278
UBR4               1   19401000   19536812    556      56  107853      -1.2141      0.88764
EMC1               1   19542158   19578053    177      34  107853     -0.55287      0.70982
MRTO4              1   19578075   19586622     70      15  107853     -0.22733      0.58991
AKR7A3             1   19609057   19615280     39      10  107853     -0.72379       0.7654
AKR7A2             1   19629202   19638640     53      27  107853     0.068709      0.47261
PQLC2              1   19638740   19658925    146      31  107853      0.60077        0.274
CAPZB              1   19665267   19812066    949      52  107853     -0.30997      0.62171
MINOS1             1   19923471   19956315    182      27  107853      0.35098       0.3628
MINOS1-NBL1        1   19923471   19984949    359      52  107853     -0.30018      0.61798
NBL1               1   19969723   19984949     88      35  107853      -1.5817      0.94315
HTR6               1   19991780   20006055     85      28  107853     -0.92991      0.82379
TMCO4              1   20008706   20126424    740     112  107853      0.49476      0.31038
RNF186             1   20140522   20141771     13       8  107853       1.4422     0.074622
OTUD3              1   20208356   20239438    139      40  107853      0.60102      0.27391
PLA2G2E            1   20246800   20250110     25      10  107853      0.15011      0.44034
PLA2G2A            1   20301924   20306932     31      18  107853      0.45995      0.32278
PLA2G5             1   20386157   20418394    211      49  107853      0.30637      0.37966
PLA2G2D            1   20439143   20446059     39      19  107853     0.018337      0.49269
PLA2G2F            1   20465823   20476879     53      32  107853     0.048457      0.48068
PLA2G2C            1   20490484   20501687     58      18  107853       1.0176      0.15442
UBXN10             1   20512578   20522540     38      25  107853        2.318     0.010226
VWA5B1             1   20617412   20681662    423      64  107853       1.5263     0.063465
CAMK2N1            1   20808884   20812728     12       8  107853   -0.0059798      0.50239
MUL1               1   20825941   20834674     50      22  107853      0.39728      0.34558
FAM43B             1   20878932   20881513      8       4  107853      0.20974      0.41694
CDA                1   20915444   20945401    194      44  107853        1.781      0.03746
PINK1              1   20959948   20978004    118      25  107853       1.3881     0.082556
DDOST              1   20978260   20988037     54      19  107853      0.61232      0.27016
KIF17              1   20990475   21044317    387      94  107853       1.6027     0.054496
SH2D5              1   21046225   21059133     64      23  107853      0.45067      0.32611
HP1BP3             1   21069170   21113808    163      41  107853      0.87337      0.19123
EIF4G3             1   21132785   21503381   1412      66  107853      0.92527      0.17741
ECE1               1   21543740   21672034    741     104  107853        1.314     0.094422
NBPF3              1   21766583   21811393    242      39  107853      0.93126      0.17586
ALPL               1   21835475   21904905    479      62  107853      0.02803      0.48882
RAP1GAP            1   21922708   21996010    417      80  107853      0.12622      0.44978
USP48              1   22004791   22109688    597      60  107853      0.42977      0.33368
LDLRAD2            1   22138758   22151714     90      49  107853     -0.21013      0.58322
HSPG2              1   22148737   22263750    706     102  107853     -0.13402      0.55331
CELA3B             1   22303418   22315847    107      21  107853     -0.25258       0.5997
CELA3A             1   22328149   22339035     58      18  107853     0.024014      0.49042
CDC42              1   22379120   22419439    192      47  107853      0.45376        0.325
WNT4               1   22443798   22470474    155      43  107853      0.73906      0.22994
ZBTB40             1   22778344   22857650    321      47  107853       1.5015     0.066608
EPHA8              1   22890004   22930087    246      57  107853     -0.61573      0.73097
C1QA               1   22963118   22966175     15      10  107853     -0.22666      0.58966
C1QC               1   22969969   22974603     30       8  107853     -0.23463      0.59275
C1QB               1   22979682   22988130     48      17  107853     -0.53054      0.70213
EPHB2              1   23037263   23241823   1176     148  107853      0.11005      0.45619
LACTBL1            1   23279536   23299524     94      34  107853     -0.16087       0.5639
C1orf234           1   23337327   23342343     20       9  107853     -0.61485      0.73067
KDM1A              1   23345937   23410184    215      59  107853     -0.33691      0.63191
LUZP1              1   23410516   23504301    355      57  107853     -0.98227      0.83702
HTR1D              1   23518388   23521222     15      10  107853      0.93721      0.17432
HNRNPR             1   23635953   23671143    152      44  107853      0.94873      0.17138
ZNF436             1   23685941   23696357     51      16  107853      -1.1763      0.88027
TCEA3              1   23707555   23751269    265      50  107853     0.045024      0.48204
ASAP3              1   23755056   23810750    249      53  107853    -0.040771      0.51626
E2F2               1   23832920   23857712    113      31  107853     -0.77581      0.78107
ID3                1   23884421   23886285     16       9  107853      0.42981      0.33367
RPL11              1   24018269   24022915     27      11  107853      0.79377      0.21366
TCEB3              1   24069856   24088549     73      15  107853      -0.3216      0.62612
PITHD1             1   24104876   24114722     40      25  107853      0.55585      0.28916
LYPLA2             1   24117275   24122029     14       9  107853      0.77338      0.21965
GALE               1   24122089   24127294     11       8  107853       1.0428      0.14852
HMGCL              1   24128367   24165110    123      33  107853      0.89933      0.18424
FUCA1              1   24171567   24194859     94      31  107853     -0.12909      0.55136
CNR2               1   24197005   24285549    428      44  107853     -0.13181      0.55243
PNRC2              1   24286301   24289952      5       2  107853       1.9299      0.02681
SRSF10             1   24292935   24306953      7       3  107853       1.1049      0.13459
MYOM3              1   24382531   24438665    388      54  107853      0.99823      0.15908
IL22RA1            1   24446261   24469783    133      41  107853       2.0751      0.01899
IFNLR1             1   24480647   24513765    243      52  107853      0.14215      0.44348
GRHL3              1   24645812   24690972    231      71  107853      0.97855       0.1639
STPG1              1   24683489   24741587    319      47  107853     -0.51842      0.69792
NIPAL3             1   24742245   24799473    368      53  107853     -0.30177      0.61858
RCAN3              1   24828841   24863510    190      38  107853      0.18839      0.42528
NCMAP              1   24882567   24935819    336      51  107853      0.13111      0.44784
SRRM1              1   24969594   24999772     93      44  107853      0.69562      0.24333
CLIC4              1   25071760   25170815    334      60  107853     -0.12568      0.55001
RUNX3              1   25226002   25291648    338      88  107853     -0.51409       0.6964
SYF2               1   25548767   25559013     52      18  107853      0.34701      0.36429
RSRP1              1   25568740   25574010     27      15  107853     -0.41473      0.66083
RHD                1   25598884   25656936    152      37  107853     -0.91806      0.82071
TMEM50A            1   25664789   25688852    104      32  107853     -0.50235      0.69229
RHCE               1   25687853   25747363    250      48  107853      -1.6484      0.95036
TMEM57             1   25757388   25826700    319      39  107853      0.12478      0.45035
LDLRAP1            1   25870071   25895377    160      38  107853       1.1353      0.12812
MAN1C1             1   25943959   26111258    824      78  107853      0.31204       0.3775
SEPN1              1   26126667   26144713     97      25  107853      0.09649      0.46157
MTFR1L             1   26146397   26159433     56      11  107853      0.70336      0.24092
AUNIP              1   26158414   26185939    118      15  107853      0.19492      0.42273
PAQR7              1   26187975   26202461     56      15  107853      -1.6036      0.94559
STMN1              1   26210670   26233368     65      22  107853     -0.80584      0.78983
PAFAH2             1   26286258   26326366    205      39  107853      -0.6999      0.75801
EXTL1              1   26348266   26362955     72      33  107853       0.1004      0.46001
SLC30A2            1   26364513   26373439     41      17  107853      0.85606      0.19598
TRIM63             1   26377792   26394142     95      27  107853        1.545     0.061179
PDIK1L             1   26437656   26452039     72      15  107853      0.62346      0.26649
FAM110D            1   26485511   26489119     22      13  107853     -0.81691      0.79301
ZNF593             1   26496388   26497364      6       3  107853       0.3855      0.34993
CNKSR1             1   26503981   26516375     76      26  107853      0.90023        0.184
CATSPER4           1   26517119   26529033    109      27  107853    -0.018754      0.50748
CEP85              1   26560644   26605529    251      37  107853       1.2765       0.1009
SH3BGRL3           1   26606213   26608013     11       5  107853     -0.27889      0.60984
UBXN11             1   26608773   26644756    222      33  107853        1.078      0.14051
CD52               1   26644411   26647014     22      10  107853        1.326     0.092424
AIM1L              1   26648350   26680621    183      43  107853   -0.0082525      0.50329
ZNF683             1   26688125   26701023     85      24  107853      0.46643      0.32045
LIN28A             1   26737269   26756219     84      39  107853      0.21568      0.41462
DHDDS              1   26758773   26797797    162      60  107853      -0.6209      0.73267
HMGN2              1   26798902   26803133     19      12  107853     -0.60292      0.72672
RPS6KA1            1   26856249   26901520    221      55  107853       1.2867     0.099108
LOC101928728       1   27018623   27022896     21      11  107853      -1.7097      0.95634
ARID1A             1   27022522   27108601    302      39  107853     -0.40304      0.65654
PIGV               1   27113739   27124894     44      23  107853     -0.38853      0.65119
ZDHHC18            1   27153201   27184092    144      44  107853      -0.5062      0.69364
SFN                1   27189633   27190947      3       2  107853     -0.90543      0.81738
GPN2               1   27205872   27216869     37      16  107853      0.17625      0.43005
GPATCH3            1   27216979   27226962     31      19  107853      0.26984      0.39364
NR0B2              1   27237975   27240567     10       6  107853      0.38839      0.34887
NUDC               1   27248187   27273362    111      45  107853     -0.52632      0.70067
KDF1               1   27276047   27286901     40      17  107853       0.4065      0.34219
TRNP1              1   27320189   27327377     27      11  107853      -1.3494      0.91139
FAM46B             1   27331511   27339333     34      17  107853     -0.10058      0.54006
SLC9A1             1   27425300   27481621    216      62  107853       1.3652     0.086093
WDTC1              1   27561007   27635124    252      50  107853      0.72024      0.23569
TMEM222            1   27648636   27662891     77      33  107853      0.57658      0.28211
SYTL1              1   27668483   27680423     46      19  107853      0.80133      0.21147
MAP3K6             1   27681670   27693558     49      21  107853     0.082011      0.46732
FCN3               1   27695601   27701315     35      22  107853      0.75029      0.22654
CD164L2            1   27705596   27709823     13       6  107853      0.11111      0.45576
GPR3               1   27719148   27722318     10       7  107853      -1.6247      0.94788
WASF2              1   27730734   27816678    351      47  107853       1.2648      0.10297
AHDC1              1   27860756   27930463    245      70  107853      0.90874      0.18174
FGR                1   27938800   27961727    118      37  107853        1.167       0.1216
IFI6               1   27992572   27998724     30      12  107853      0.80757      0.20967
FAM76A             1   28052490   28089426    162      25  107853      0.55074      0.29091
STX12              1   28099694   28150963    215      36  107853     0.040113        0.484
PPP1R8             1   28157252   28178183     96      40  107853     -0.40102       0.6558
THEMIS2            1   28199055   28213196     89      26  107853    -0.045596      0.51818
RPA2               1   28218035   28241255    122      28  107853      0.31216      0.37746
SMPDL3B            1   28261456   28285663    153      42  107853     -0.12057      0.54798
XKR8               1   28286504   28294604     39      20  107853     -0.79093      0.78551
EYA3               1   28296855   28415173    570      50  107853     -0.52974      0.70185
PTAFR              1   28473677   28520447    183      82  107853       1.0834      0.13931
DNAJC8             1   28526789   28559542    163      34  107853     -0.10052      0.54004
ATPIF1             1   28562602   28564616     10       5  107853     -0.77788      0.78168
SESN2              1   28585963   28609002    117      42  107853     -0.26749      0.60546
MED18              1   28655513   28662478     27      18  107853    -0.047091      0.51878
PHACTR4            1   28696093   28826881    654      31  107853     -0.15096      0.55999
RCC1               1   28832455   28865708    159      46  107853     -0.29827      0.61725
TRNAU1AP           1   28879529   28905057     96      31  107853      0.33583       0.3685
RAB42              1   28918712   28921098     10       6  107853      -2.0524      0.97993
TAF12              1   28929608   28975416    204      63  107853       1.9436     0.025971
GMEB1              1   28995234   29042115    187      49  107853       1.3813     0.083595
YTHDF2             1   29063133   29096287    144      42  107853       2.3751    0.0087719
OPRD1              1   29138654   29190208    311      47  107853      0.81886      0.20643
EPB41              1   29213603   29446558   1005      67  107853      -1.0948       0.8632
TMEM200B           1   29445937   29450421     23      12  107853      0.21671      0.41422
SRSF4              1   29474250   29508637    148      53  107853      0.29359      0.38454
MECR               1   29519385   29557460    189      51  107853      -0.4929      0.68896
PTPRU              1   29563028   29653325    428      81  107853      0.70292      0.24105
MATN1              1   31184124   31196432     57      14  107853      0.51756      0.30238
LAPTM5             1   31205315   31230683    161      65  107853      0.38857       0.3488
SDC3               1   31342313   31381480    195      79  107853    -0.004121      0.50164
PUM1               1   31404353   31538838    594      57  107853       1.7729      0.03812
NKAIN1             1   31652592   31712734    405      38  107853     0.035598       0.4858
SNRNP40            1   31732415   31769644    195      30  107853       0.9612      0.16823
ZCCHC17            1   31769832   31838569    323      34  107853       0.9661        0.167
FABP3              1   31838100   31845923     38      21  107853      0.13176      0.44759
SERINC2            1   31882412   31907527    131      27  107853        1.025      0.15268
TINAGL1            1   32042086   32053290     35      26  107853     -0.42982      0.66634
HCRTR1             1   32083290   32093214     49      15  107853      0.58998       0.2776
PEF1               1   32095463   32110838     54      17  107853      0.36783       0.3565
COL16A1            1   32117848   32169768    257      68  107853      -1.3105      0.90499
ADGRB2             1   32192718   32230494    153      39  107853      0.30741      0.37927
SPOCD1             1   32256023   32281630    123      38  107853       1.3129     0.094612
PTP4A2             1   32372022   32403988    151      31  107853   0.00043205      0.49983
KHDRBS1            1   32479295   32526460    137      87  107853     -0.65341      0.74325
TMEM39B            1   32538503   32568467    103      34  107853      -1.4425      0.92542
KPNA6              1   32573644   32642169    213      65  107853     -0.73698      0.76943
TXLNA              1   32645293   32663886     68      35  107853      -1.4143      0.92137
CCDC28B            1   32666202   32670991     14      10  107853       1.0965      0.13643
IQCC               1   32671236   32674288     17       9  107853       0.3587      0.35991
DCDC2B             1   32674695   32681797     38      26  107853      0.33391      0.36922
